"ItemCode","Packing","BarCode","SPrice","Qty"
"503","Pc","8886467065781","770","1"
"19771","Pc","5059001000415","895","1"
"19771","Pc","5059001000422","895","1"
"19772","Pump","8718951095182","1120","1"
"9205","Box","8964003590673","315","1"
"17035","Box","8964003590710","350","1"
"1689","Box","8964003590819","315","1"
"1066","Box","8964003590703","310","1"
"7676","Pc","8961008222561","450","1"
"7677","Pc","8961008222295","790","1"
"16329","Pc","8961008222301","1460","1"
"19795","Pkt","8961006020145","165","1"
"634","CTN","8964002619412","2600","5"
"10693","POUCH","2563874554409","190","1"
"19796","Pc","735816563417","1480","1"
"19797","Pc","735816836252","1480","1"
"19798","Pc","197981","430","1"
"19799","Pkt","197991","70","1"
"19509","Pc","8901138819712","440","1"
"19375","Pc","7509552847550","1330","1"
"16986","Pkt","8710908657559","740","1"
"19800","Box","8965310053219","235","1"
"19608","Pkt","8961008222745","650","1"
"19801","Pc","8961008220826","480","1"
"18680","SACHET","8961008220833","90","1"
"18009","SACHET","8961008222202","80","1"
"19803","Pc","8964002701148","130","1"
"1370","BUNDLE","8961014256161","430","1"
"2261","BUNDLE","8961014256178","430","1"
"257","Pc","8961014032901","75","1"
"10480","SACHET","8886950012438","10","1"
"19804","Pc","8886950093345","140","1"
"19805","Pc","8964002686377","580","1"
"19806","Box","8990057985677","1880","1"
"11769","Pc","776992970026","440","1"
"12690","Pc","7622201761707","1950","1"
"12689","Pc","7622201766481","1950","1"
"19807","Pc","7622201762223","1950","1"
"1097","Pc","42204244","560","1"
"19808","Pc","8941174010445","520","1"
"19809","Pc","8941174010438","780","1"
"333","Pc","8850007030744","490","1"
"19810","Pc","198101","85","1"
"18916","Box","8964003590765","230","1"
"19811","Pc","6281653838781","170","1"
"19812","SACHET","3578908001055","15","1"
"19813","SACHET","3678908001060","15","1"
"19814","SACHET","3578908001058","15","1"
"19815","SACHET","3578908001057","15","1"
"19816","SACHET","3578908001051","15","1"
"19817","SACHET","3578908001052","15","1"
"19818","SACHET","3578908001056","15","1"
"19049","POUCH","8961100023738","710","1"
"19819","Pc","8961100022090","100","1"
"19405","Pc","5038483957387","2190","1"
"19405","Pc","5038483224021","2190","1"
"19820","Pc","8590335008304","390","1"
"18577","Pc","43422650001","190","1"
"19821","Pc","8964001753230","230","1"
"19822","Pc","198221","440","1"
"19823","Pc","8999999597849","680","1"
"19824","Pc","198241","280","1"
"19825","Pc","198251","190","1"
"19826","Pc","8969217200813","345","1"
"19826","Pc","198262","345","1"
"19827","Pkt","198271","130","1"
"19828","POUCH","0695240210441","380","1"
"19828","POUCH","198282","380","1"
"19829","Pc","198291","345","1"
"19830","Pc","198301","345","1"
"6410","Box","8961103063823","295","1"
"19831","TIN","8961101373474","2620","1"
"19832","Pc","8964002346400","30","1"
"19833","Pc","8964002346417","40","1"
"19835","BOTTLE","8964002619658","300","1"
"19836","BOTTLE","8964002619665","160","1"
"19838","Pc","7622300498429","1270","1"
"19838","Pc","7622201120931","1270","1"
"19839","Pc","7622300743574","395","1"
"19839","Pc","96133262","395","1"
"19840","Box","8961003522253","315","1"
"18874","Box","8964003590789","235","1"
"128","Box","8964003590741","230","1"
"19841","pc","8964000844007","390","1"
"19842","POUCH","8964000843291","240","1"
"3249","Pc","8904006307427","1120","1"
"3249","Pc","8904006307397","1120","1"
"19843","Pc","752590051046","2780","1"
"19844","Pc","752590031048","2780","1"
"9774","Pkt","9245659668824","190","1"
"19845","Pc","198451","320","1"
"19846","Pc","198461","120","1"
"19847","Pkt","4426423272446","605","1"
"19848","Pkt","6291007901054","320","1"
"19849","Pkt","8901063136779","450","1"
"3718","Pc","8961101234058","485","1"
"19850","Pc","6028104400223","145","1"
"2284","Box","8964003590796","235","1"
"19851","JAR","8851123741040","840","1"
"19852","Pump","8851123342636","1440","1"
"19853","Pc","8851123349093","1380","1"
"19854","Pc","8851123710060","940","1"
"19855","Pc","8851123375634","790","1"
"19856","Box","198561","1725","1"
"19857","Box","198571","2140","1"
"19858","Box","198581","1285","1"
"19859","Box","198591","1495","1"
"5742","Pc","6291109270577","440","1"
"19892","Box","198922","1390","1"
"19893","Box","198932","1060","1"
"19894","Box","8096543528431","860","1"
"19894","Box","198942","860","1"
"19895","Box","8096867678959","780","1"
"19895","Box","198952","780","1"
"19896","Pc","198961","970","1"
"19897","Box","788821129024","145","1"
"19898","Pc","788821016157","180","1"
"19277","Box","8961103500052","315","1"
"19900","Box","8961103500502","310","1"
"19899","Pkt","8961103500342","250","1"
"7856","Pc","78562","370","1"
"19901","Pc","199011","295","1"
"19901","Pc","8991111101408","295","1"
"10823","Pc","0331078600251","560","1"
"19902","Pc","7702018308309","1120","1"
"19904","Pc","8961100095902","70","1"
"19905","Pc","8961100096565","340","1"
"19906","Pc","8961008222363","490","1"
"19907","POUCH","8961102505270","100","1"
"5606","Pc","56062","410","1"
"1645","BOTTLE","8901030425813","740","1"
"19908","Pc","8859362508509","490","1"
"19909","Pc","199091","480","1"
"19910","Pc","199101","480","1"
"19911","Pc","199111","60","1"
"19912","Bag","bag1","2950","1"
"19913","Bag","bag2","4150","1"
"19914","Bag","bag3","5800","1"
"9788","BOTTLE","5900627070279","1180","1"
"9788","BOTTLE","5011417570968","1180","1"
"19739","Pkt","8962222014314","310","1"
"19740","Pc","8962222014321","170","1"
"10230","Box","6971282341157","945","1"
"120","Box","8964003590727","235","1"
"19741","Pc","197411","90","1"
"19742","Pc","6916790269791","730","1"
"19743","Pc","6916790268602","530","1"
"6130","POUCH","8964000823132","400","1"
"19745","Pc","3046920013888","1150","1"
"19744","Pc","3046920010856","1150","1"
"19744","Pc","3046920020992","1150","1"
"19744","Pc","3046920027885","1150","1"
"19744","Pc","3046920017503","1150","1"
"19744","Pc","3046920027861","1150","1"
"19746","Pc","197461","90","1"
"19747","JAR","672201000051","1770","1"
"19748","Pkt","1256790111498","110","1"
"11716","Pkt","1156790100921","70","1"
"11716","Pkt","1156790100822","70","1"
"19749","Pkt","1256790300748","230","1"
"19749","Pkt","1256790300755","230","1"
"19749","Pkt","1256790300762","230","1"
"19749","Pkt","1256790300779","230","1"
"16173","Pc","1156790068610","230","1"
"19750","Pc","1256790112365","95","1"
"19752","Pc","1156790100136","80","1"
"19753","Pc","9945678902045","120","1"
"19753","Pc","9945678902069","120","1"
"7675","Box","8961008222165","2950","1"
"7673","Pc","8961008222141","740","1"
"9707","Pump","8888202064639","1390","1"
"19773","Pc","3574661287232","2900","1"
"19774","Pkt","069055824184","3130","1"
"19775","Pump","8851932398626","1295","1"
"19776","Pc","3574669907675","925","1"
"19777","Pc","6927262801425","80","1"
"19778","Pc","7622201783037","940","1"
"19779","POUCH","7622210714176","1190","1"
"19780","POUCH","7622210286918","1190","1"
"19781","POUCH","7622201438043","1190","1"
"19782","POUCH","7622210287021","1190","1"
"19783","SACHET","197831","190","1"
"19784","Box","8961003553370","295","1"
"8238","Pc","7622202050091","80","1"
"8238","Box","7622202050084","1860","24"
"122","Box","8964003590772","235","1"
"1279","POUCH","8961014262094","199","1"
"19785","Pc","197851","490","1"
"19786","Pc","6009508400361","485","1"
"19787","Pc","6970158356134","170","1"
"19705","Pc","6291101523626","180","1"
"15859","POUCH","8961014262193","495","1"
"15858","POUCH","8961014262209","495","1"
"19788","Pc","6934985798802","150","1"
"19789","Pc","8964002346424","60","1"
"19790","BOTTLE","788821125125","350","1"
"10940","ROLL","8964000053409","105","1"
"19791","Pkt","8964003018689","160","1"
"10396","Pkt","6970928031063","190","1"
"19792","Pc","796554817149","150","1"
"19793","BOTTLE","6442160231896","630","1"
"19794","Pc","8964000258675","290","1"
"19922","Pc","4426423270046","65","1"
"19924","POUCH","8993560027001","290","1"
"19925","POUCH","8993560027216","290","1"
"3493","Pc","8964002706921","95","1"
"1436","SACHET","8961014261738","10","1"
"19927","Pc","2247848832174","795","1"
"19928","Pc","2962839274190","795","1"
"19926","Pc","6165858300178","770","1"
"19929","Pc","8719200273863","800","1"
"19930","Pc","8964000506264","480","1"
"19931","Pc","8964000506288","480","1"
"5776","Pc","95502489","160","1"
"19932","BOTTLE","1860201136828","90","1"
"14524","Pkt","6987521233121","140","1"
"19933","JAR","5063305005625","1200","1"
"19934","TIN","705634582259","820","1"
"19935","TIN","8858768055464","340","1"
"1945","Pc","8886950073705","240","1"
"14076","JAR","140762","620","1"
"19936","Pc","8961006090018","320","1"
"257","Box","18961014032908","1800","24"
"19937","Pc","8964001195641","630","1"
"19938","Pc","9556006004234","670","1"
"9706","Pump","8992856896819","1630","1"
"19939","Pc","4801010524106","670","1"
"18455","Pc","123456789","530","1"
"19940","Pc","6291007905281","720","1"
"19941","Pkt","8964002625178","280","1"
"19942","Pc","199421","190","1"
"15122","Pc","7622201806873","940","1"
"19943","POUCH","8961102504525","145","1"
"13824","Pc","8682974044123","600","1"
"19860","Pc","8961101373450","80","1"
"19861","Pc","8961101373436","270","1"
"19862","Pc","2731531754015","530","1"
"19863","Pc","198631","530","1"
"19864","Pc","198641","270","1"
"19865","POUCH","7622210810915","1190","1"
"19866","Pump","8851123375658","1430","1"
"19867","Box","8961003574368","290","1"
"19868","CTN","8964000069332","2560","5"
"19868","POUCH","8964000069066","512","1"
"19869","SACHET","3610340669910","190","1"
"19870","POUCH","8961008222769","590","1"
"16872","TIN","2063208193125","590","1"
"19871","Pc","6053889441246","55","1"
"7512","BOTTLE","5449000004864","200","1"
"7511","BOTTLE","5449000000286","240","1"
"19872","TIN","9557366996665","320","1"
"19873","Pkt","198731","140","1"
"19874","Pkt","198741","395","1"
"19875","Pkt","198751","445","1"
"19876","Pkt","198761","270","1"
"19877","Pc","198771","320","1"
"19878","Pc","198781","160","1"
"19879","Box","198791","730","1"
"19880","Pc","198801","490","1"
"396","CTN","","1865","27"
"19881","Pc","8961014253146","630","1"
"19096","Box","8964003590734","235","1"
"18065","Pc","077043001783","1220","1"
"18065","Pc","077043002186","1220","1"
"18065","Pc","077043002216","1220","1"
"18065","Pc","077043002209","1220","1"
"236","POUCH","8961014262636","395","1"
"164","POUCH","8700216439039","570","1"
"471","Pc","8964002137855","110","1"
"19884","JAR","5063305005618","400","1"
"19885","Pkt","198851","140","1"
"5570","Pkt","6223007652605","440","1"
"1434","Pc","6281031091173","240","1"
"19886","Box","8961003562549","315","1"
"17047","Box","8964003590680","350","1"
"4484","Pkt","8961008222615","2350","1"
"2944","BOTTLE","8991111153049","690","1"
"2944","BOTTLE","8992725910332","690","1"
"11848","JAR","4061445257769","3350","1"
"11848","JAR","4061445272144","3350","1"
"19887","Pc","6294001824176","490","1"
